scenario,window_start,window_end,anomaly_label,cause_label,target_label,cause_name,target_device,target_interface,observed_devices
200121_0803_ecmp,1579593900,1579593950,1,3,4,ecmp_change,spine3,loopback 0,"dr02,dr03,leaf4,leaf7,leaf8,spine1,spine2,spine3"
200121_0803_ecmp,1579593930,1579593980,1,3,4,ecmp_change,spine3,loopback 0,"dr02,dr03,leaf4,leaf7,leaf8,spine1,spine2,spine3"
200121_0803_ecmp,1579593960,1579594010,1,3,4,ecmp_change,spine3,loopback 0,"dr02,dr03,leaf4,leaf7,leaf8,spine1,spine2,spine3"
200121_0803_ecmp,1579593990,1579594040,1,3,4,ecmp_change,spine3,loopback 0,"dr02,dr03,leaf4,leaf7,leaf8,spine1,spine2,spine3"
200121_0803_ecmp,1579594020,1579594070,1,3,4,ecmp_change,spine3,loopback 0,"dr02,dr03,leaf4,leaf7,leaf8,spine1,spine2,spine3"
200121_0803_ecmp,1579594050,1579594100,1,3,4,ecmp_change,spine3,loopback 0,"dr02,dr03,leaf4,leaf7,leaf8,spine1,spine2,spine3"
200121_0803_ecmp,1579594080,1579594130,1,3,4,ecmp_change,spine3,loopback 0,"dr02,dr03,leaf4,leaf7,leaf8,spine1,spine2,spine3"
200121_0803_ecmp,1579594110,1579594160,1,3,4,ecmp_change,spine3,loopback 0,"dr02,dr03,leaf4,leaf7,leaf8,spine1,spine2,spine3"
200121_0803_ecmp,1579594140,1579594190,1,3,4,ecmp_change,spine3,loopback 0,"dr02,dr03,leaf4,leaf7,leaf8,spine1,spine2,spine3"
200121_0803_ecmp,1579594170,1579594220,1,3,4,ecmp_change,spine3,loopback 0,"dr02,dr03,leaf4,leaf7,leaf8,spine1,spine2,spine3"
200121_0803_ecmp,1579594200,1579594250,1,3,4,ecmp_change,spine3,loopback 0,"dr02,dr03,leaf4,leaf7,leaf8,spine1,spine2,spine3"
200121_0803_ecmp,1579594230,1579594280,1,3,4,ecmp_change,spine3,loopback 0,"dr02,dr03,leaf4,leaf7,leaf8,spine1,spine2,spine3"
200121_0803_ecmp,1579594260,1579594310,1,3,4,ecmp_change,spine3,loopback 0,"dr02,dr03,leaf4,leaf7,leaf8,spine1,spine2,spine3"
200121_0803_ecmp,1579594290,1579594340,1,3,4,ecmp_change,spine3,loopback 0,"dr02,dr03,leaf4,leaf7,leaf8,spine1,spine2,spine3"
200121_0803_ecmp,1579594320,1579594370,1,3,4,ecmp_change,spine3,loopback 0,"dr02,dr03,leaf4,leaf7,leaf8,spine1,spine2,spine3"
200121_0803_ecmp,1579594350,1579594400,1,3,4,ecmp_change,spine3,loopback 0,"dr02,dr03,leaf4,leaf7,leaf8,spine1,spine2,spine3"
200121_0803_ecmp,1579594380,1579594430,1,3,4,ecmp_change,spine3,loopback 0,"dr02,dr03,leaf4,leaf7,leaf8,spine1,spine2,spine3"
200121_0803_ecmp,1579594410,1579594460,1,3,4,ecmp_change,spine3,loopback 0,"dr02,dr03,leaf4,leaf7,leaf8,spine1,spine2,spine3"
200121_0803_ecmp,1579594440,1579594490,1,3,4,ecmp_change,spine3,loopback 0,"dr02,dr03,leaf4,leaf7,leaf8,spine1,spine2,spine3"
200121_0803_ecmp,1579594470,1579594520,1,3,4,ecmp_change,spine3,loopback 0,"dr02,dr03,leaf4,leaf7,leaf8,spine1,spine2,spine3"
